NAMES	SKF1	SKF2	SKF3	Col 4h 1	Col 4h 2	Col 4h 3	Col 6h 1	Col 6h 2	Col 6h 3	Col 8h 1	Col 8h 2	Col 8h 3
APOA1	0.461484004	0.020772135	0.461484004	-0.181535838	-0.181535838	0.770986571	1.021320942	0.586770952	1.021320942	-0.077889922	0.446159847	0.446159847
APOA2	-0.078837614	0.48936447	-0.078837614	0.704438764	0.704438764	0.893324883	0.720261848	0.120667566	0.720261848	0.351098969	0.436342982	0.436342982
APOA4	-0.19798462	-0.093069895	-0.19798462	-0.598644804	-0.598644804	-0.300902213	-0.413908022	-0.88601221	-0.413908022	-0.908372923	-0.270629856	-0.270629856
APOA5	0.172922325	-0.122059153	0.172922325	-0.332872619	-0.332872619	0.308974836	-0.090843724	-1.028399848	-0.090843724	-1.039952816	-0.188078884	-0.188078884
APOB	0.240094342	0.022740578	0.240094342	1.021679695	1.021679695	-0.524866116	0.194769625	-0.502289782	0.194769625	0.379328974	-0.014187941	-0.014187941
APOC1	0.510833618	0.658091145	0.510833618	1.26242807	1.26242807	-0.031092839	0.243409181	0.257665946	0.243409181	0.415584098	0.463889466	0.463889466
APOC2	0.102788592	0.43667908	0.102788592	0.731552816	0.731552816	-0.06432079	0.960750009	0.016729598	0.960750009	-0.098824052	0.968525293	0.968525293
APOC3	-0.011891529	0.068216482	-0.011891529	0.488660427	0.488660427	1.464473676	0.163860241	-0.192660238	0.163860241	-0.105362684	0.944578266	0.944578266
APOD	-0.541653996	-0.120957444	-0.541653996	-0.111895008	-0.111895008	-1.02769677	-0.457331334	0.015566795	-0.457331334	-0.130194218	0.6212676	0.6212676
APOE	-1.87798472	-0.177497907	-1.87798472	-0.400443621	-0.400443621	-0.441243845	0.175204216	-0.800486576	0.175204216	-0.119443181	-0.68545598	-0.68545598
AR	-0.238116905	-0.333914263	-0.238116905	0.621410208	0.621410208	-0.581406368	0.613187222	0.338918714	0.613187222	0.340547982	0.677372903	0.677372903
ARH	-0.705704044	0.49289947	-0.705704044	-0.344691021	-0.344691021	-1.333291921	-0.358423681	-0.487747784	-0.358423681	-0.274168739	-0.036403842	-0.036403842
ARHB	-0.199482756	-0.275920417	-0.199482756	-0.427787144	-0.427787144	-0.051322729	-0.501773794	-0.388258535	-0.501773794	-0.277886607	-0.132743686	-0.132743686
ATF6	0.047658321	0.615143561	0.047658321	0.528472888	0.528472888	0.260142693	-0.064636174	-0.656446008	-0.064636174	-0.563949939	0.332302263	0.332302263
ATM	0.604957922	0.417334277	0.604957922	0.502555159	0.502555159	0.726875949	0.570435432	0.308703176	0.570435432	0.50655191	-0.155364968	-0.155364968
ATR	-0.243836465	-0.471887082	-0.243836465	-0.604584893	-0.604584893	0.439734213	-0.163022561	-0.519719478	-0.163022561	-0.507471228	0.808393545	0.808393545
BAD	0.396324799	-0.107713886	0.396324799	0.174661432	0.174661432	-0.581323591	-0.279099998	-0.642879407	-0.279099998	-0.698464048	0.250039218	0.250039218
CASP2	0.343103763	0.266628783	0.343103763	0.619012011	0.619012011	0.187314886	0.266977459	0.496854417	0.266977459	0.368974746	1.587270801	1.587270801
CASP3	0.047154495	-0.294491516	0.047154495	-0.207450146	-0.207450146	0.571403851	0.361155308	0.074395361	0.361155308	0.809885577	-0.494470682	-0.494470682
CASP8	-0.898204881	0.457113751	-0.898204881	0.138521315	0.138521315	-0.420041866	-0.492871883	-0.485177107	-0.492871883	-0.067640797	0.336653595	0.336653595
CASP9	0.570164644	0.404143592	0.570164644	0.031223775	0.031223775	-0.373066719	-0.223244314	-0.289558148	-0.223244314	-0.068385941	-0.035906878	-0.035906878
CAV1	-0.235573006	-0.355328146	-0.235573006	0.514058036	0.514058036	-0.614579611	0.221860982	0.27012899	0.221860982	0.381892669	0.024081314	0.024081314
CAV2	-0.193079204	0.453640587	-0.193079204	0.43716507	0.43716507	-0.379376212	-0.027651282	0.066943258	-0.027651282	0.55992259	0.18523166	0.18523166
CAV3	-1.723520505	0.010116895	-1.723520505	0.741586004	0.741586004	0.123355636	-0.563788236	-0.590656541	-0.563788236	-0.34026654	0.788483288	0.788483288
CB1	-0.123199072	-0.337094441	-0.123199072	-0.024757219	-0.024757219	0.007998833	0.228711063	-0.516292005	0.228711063	-0.219850726	-0.085116267	-0.085116267
CCNA1	0.382578968	0.319968331	0.382578968	0.188037546	0.188037546	-0.030595725	-0.095312939	-0.659048141	-0.095312939	-0.966885445	-0.084273334	-0.084273334
CCNA2	0.375632924	-1.314712685	0.375632924	-0.805491016	-0.805491016	0.07479971	-0.662885059	0.597729075	-0.662885059	0.412430552	-0.564976971	-0.564976971
CCNB1	-0.125935983	0.094777732	-0.125935983	-0.147559431	-0.147559431	0.04318605	-0.05545381	-0.773998509	-0.05545381	-1.021197971	0.545751401	0.545751401
CCND1	0.07167148	-0.683510247	0.07167148	-0.266844344	-0.266844344	0.258744601	-0.136569337	0.07283825	-0.136569337	-0.112122903	0.389448887	0.389448887
CCND2	0.088641211	-0.922074054	0.088641211	0.695697416	0.695697416	-0.19001392	0.199460423	1.104746015	0.199460423	1.128393998	-0.391785701	-0.391785701
CCND3	0.542269378	-0.298883233	0.542269378	0.531608887	0.531608887	0.255232516	0.367282491	0.959765996	0.367282491	0.625564085	0.183541401	0.183541401
CCNE1	0.135945575	0.310146664	0.135945575	-0.483124902	-0.483124902	-0.965991063	-0.120173305	0.096165194	-0.120173305	-0.522848958	1.153871069	1.153871069
CCNE2	1.197512608	-0.257672547	1.197512608	-0.018442523	-0.018442523	-0.130055911	0.967383304	-0.366163012	0.967383304	0.392153572	0.058859895	0.058859895
CCNG1	0.065467847	-0.146985489	0.065467847	-1.651324702	-1.651324702	-0.190393042	-0.377063831	0.145867072	-0.377063831	0.005219991	-0.430042367	-0.430042367
CCNH	0.591007271	-0.564663658	0.591007271	-0.067618649	-0.067618649	-0.060454123	0.164149185	0.497833835	0.164149185	0.426607095	-0.361579606	-0.361579606
CD14	-0.361424184	0.375480983	-0.361424184	-0.575905021	-0.575905021	-0.087086282	-0.342517905	-1.066109234	-0.342517905	-1.21284919	-0.085950538	-0.085950538
CD36	0.599808324	0.92251724	0.599808324	0.406095812	0.406095812	1.017275883	-0.050755527	-0.248019632	-0.050755527	-0.255232211	-0.116161433	-0.116161433
CDC2	0.046486863	-1.249849959	0.046486863	-1.329291096	-1.329291096	-0.311702996	-0.491835449	0.694081937	-0.491835449	0.639446116	-0.920559509	-0.920559509
CDC20	-0.043976916	-1.573975716	-0.043976916	0.353129518	0.353129518	-1.35447514	-0.439822289	0.623226563	-0.439822289	0.416822238	-0.599920162	-0.599920162
CDC25A	-0.293693827	-0.238971975	-0.293693827	0.071638196	0.071638196	0.042905375	0.06662001	-0.259698431	0.06662001	0.065391005	-0.199991468	-0.199991468
CDC25B	0.254921504	0.205882781	0.254921504	-0.006249611	-0.006249611	-0.518094793	0.376275215	0.196964745	0.376275215	0.175170792	-0.072999336	-0.072999336
CDC25C	-0.084834696	-0.109006782	-0.084834696	-0.087770524	-0.087770524	-0.226568156	-0.339037892	-0.414888061	-0.339037892	-0.087414908	0.391869847	0.391869847
CDC34	-0.861790948	-0.199311524	-0.861790948	-0.116360736	-0.116360736	0.257789844	-0.368790471	-0.646948253	-0.368790471	-0.286587169	1.020769886	1.020769886
CDC37	0.130014987	-0.525603329	0.130014987	0.170250158	0.170250158	-0.282843768	0.312597819	0.449128593	0.312597819	0.428252268	0.124289775	0.124289775
CDC45L	-0.191257597	-0.991066077	-0.191257597	-0.387341838	-0.387341838	-0.815962946	-0.236954575	0.388100182	-0.236954575	0.193694545	-0.346439245	-0.346439245
CDC6	0.231899996	-1.021607921	0.231899996	-0.179617212	-0.179617212	-0.343663183	-0.350432297	0.287762271	-0.350432297	1.013449042	-0.502011095	-0.502011095
CDH1	0.84713167	0.131109865	0.84713167	0.388728901	0.388728901	0.449530404	0.764619979	0.872099812	0.764619979	0.817276853	0.609866904	0.609866904
CDK10	0.320401406	-0.051576083	0.320401406	0.029355192	0.029355192	-0.478262964	0.336652669	-0.419443543	0.336652669	-0.536155085	-0.199752334	-0.199752334
CDK2	0.427502535	-1.248596213	0.427502535	-1.382255803	-1.382255803	0.04951249	-0.639880846	0.53806532	-0.639880846	0.238303966	-0.677122138	-0.677122138
CDK2AP1	1.436850848	-0.638303077	1.436850848	0.39909835	0.39909835	0.105408928	0.096651127	0.687575826	0.096651127	0.724747843	-0.132997711	-0.132997711
CDK3	-0.254854634	-0.140600212	-0.254854634	0.474672577	0.474672577	0.004120482	0.380529895	0.347466481	0.380529895	0.304604172	0.83837646	0.83837646
CDK4	-0.099842757	-0.873440975	-0.099842757	0.253220838	0.253220838	-1.239155445	-0.161016081	0.376746593	-0.161016081	0.347882625	-0.135668493	-0.135668493
CDK5	0.747639068	0.392673598	0.747639068	0.240122516	0.240122516	-0.03545457	-0.111950946	-0.697531113	-0.111950946	0.198431531	0.353134735	0.353134735
CDK5R1	-0.466830211	-0.316237803	-0.466830211	-0.100639118	-0.100639118	-0.787927358	0.50467356	0.069267468	0.50467356	-0.033934029	0.083704061	0.083704061
CDK5R2	-0.439538396	0.498464004	-0.439538396	-0.298034973	-0.298034973	0.198264254	0.105743569	-0.302580175	0.105743569	-0.470956503	0.075694143	0.075694143
CDK6	-0.839415486	-0.661118009	-0.839415486	0.00391689	0.00391689	-0.508053428	-0.639965642	-0.106604963	-0.639965642	-0.887152358	0.036964103	0.036964103
CDK7	0.35106941	0.69307281	0.35106941	0.629731914	0.629731914	0.802255977	1.065049814	0.4361994	1.065049814	0.780989563	0.975675097	0.975675097
CDK9	0.489876406	0.274141369	0.489876406	0.916866126	0.916866126	0.097537284	0.671931643	0.534890606	0.671931643	0.600712618	0.244056264	0.244056264
CDKN1A	0.608059788	2.879121077	0.608059788	1.954703384	1.954703384	2.607179861	1.613057863	0.749288603	1.613057863	0.452004668	1.075546238	1.075546238
CDKN1B	0.212300048	0.100644058	0.212300048	-0.274032373	-0.274032373	-0.126539812	0.02741976	0.442747253	0.02741976	0.775664557	0.212098422	0.212098422
CDKN1C	0.901679945	-0.044120544	0.901679945	0.285287745	0.285287745	0.057331645	0.734647127	0.100373618	0.734647127	-0.025351467	0.151343535	0.151343535
CDKN2A	0.314439822	0.959652646	0.314439822	0.770693444	0.770693444	0.713152165	0.443631006	-0.166392531	0.443631006	0.134783734	1.099187323	1.099187323
CDKN2C	-0.60985671	-0.32126922	-0.60985671	0.021980502	0.021980502	0.369703389	-1.250890111	-0.029995224	-1.250890111	-0.466097468	-0.386083007	-0.386083007
CDKN3	0.496009048	-1.201337403	0.496009048	-0.351833585	-0.351833585	-0.23416709	-0.372890186	1.041638932	-0.372890186	-0.146149292	-0.067383799	-0.067383799
CEBPA	-0.836134199	-0.132665132	-0.836134199	-0.676790474	-0.676790474	-1.201495618	-1.062119049	-0.270072097	-1.062119049	-2.037889236	0.126668215	0.126668215
CEBPB	0.599396921	0.474647846	0.599396921	-1.146193001	-1.146193001	-0.095810078	-0.249295068	0.449087804	-0.249295068	-0.559913726	1.696152746	1.696152746
CES1	-0.041247167	-0.424205121	-0.041247167	0.32531188	0.32531188	-0.182777066	0.466254029	-0.557416789	0.466254029	-0.436710379	-0.364450276	-0.364450276
CETP	-0.185133829	0.682452722	-0.185133829	-0.393543326	-0.393543326	-0.016186827	-0.285165592	-0.490810107	-0.285165592	-1.034095569	-0.269319995	-0.269319995
CH25H	0.363157462	-0.2445087	0.363157462	-0.05277463	-0.05277463	-0.552820629	-0.838246804	-0.241777521	-0.838246804	-0.491858127	0.080303645	0.080303645
CHEK1	0.127378605	-0.061279378	0.127378605	-0.572932393	-0.572932393	0.179767987	0.478310627	0.511869456	0.478310627	0.727651433	0.263272194	0.263272194
CHEK2	0.212123204	-0.580894476	0.212123204	-0.431120793	-0.431120793	0.194975517	0.179198666	0.116031614	0.179198666	0.122527259	-0.357016333	-0.357016333
CKS1B	-0.392157647	-0.695516811	-0.392157647	0.158053618	0.158053618	-0.372188291	-0.171170795	0.515219103	-0.171170795	0.431919109	-0.204365092	-0.204365092
CLU	0.189404466	0.657259079	0.189404466	0.621761365	0.621761365	0.071355937	0.343797022	0.40098383	0.343797022	0.105157939	0.403127598	0.403127598
CNR2	0.54573385	0.844241947	0.54573385	0.072991264	0.072991264	0.820484441	0.829119581	-0.03277512	0.829119581	-0.351359074	0.99059313	0.99059313
CPT1A	0.220433437	-0.391408835	0.220433437	0.089379035	0.089379035	-0.066623471	0.417109195	0.916793036	0.417109195	0.748697238	-0.053038055	-0.053038055
CPT2	-0.314569665	0.003889176	-0.314569665	0.356540918	0.356540918	0.11832924	4.99E-04	-0.187409748	4.99E-04	0.46248962	0.010503529	0.010503529
CTNNB1	-0.700247206	-1.102414831	-0.700247206	-0.100011138	-0.100011138	0.615567543	-0.290280415	-0.222892436	-0.290280415	0.087086057	0.396122819	0.396122819
CYBA	-0.252306801	0.317694069	-0.252306801	0.612176271	0.612176271	-0.450429632	0.131820731	-1.176020549	0.131820731	-0.627771779	0.66714308	0.66714308
CYBB	-0.312633473	0.400448378	-0.312633473	-0.377335163	-0.377335163	-0.217546623	0.061755483	-0.261958401	0.061755483	-0.214033935	0.774897665	0.774897665
CYP24A1	0.516695265	0.059236163	0.516695265	0.38950555	0.38950555	0.328585684	0.396918988	0.200091875	0.396918988	-0.034097072	-0.01194262	-0.01194262
CYP26A1	-0.473269886	0.111268422	-0.473269886	-0.006225711	-0.006225711	-0.175015093	0.027818338	0.030069318	0.027818338	0.478680635	0.949580813	0.949580813
CYP27A1	0.242868607	0.374965722	0.242868607	0.176258919	0.176258919	0.365310044	0.938704031	0.144422602	0.938704031	-0.046516514	0.62993122	0.62993122
CYP27B1	-0.141375268	0.58647318	-0.141375268	-0.778685746	-0.778685746	-1.281595126	-0.584845439	-0.329458813	-0.584845439	-0.576720886	0.57191363	0.57191363
CYP2B6	0.087282005	-0.398674544	0.087282005	-0.284771296	-0.284771296	-0.119304434	-0.029903937	-0.647223155	-0.029903937	-0.519777178	-0.394814121	-0.394814121
CYP3A4	-0.430878435	-0.217059931	-0.430878435	0.210085749	0.210085749	0.784540513	-0.133878386	-0.005620207	-0.133878386	0.439570917	0.375429891	0.375429891
CYP46A1	-0.110490009	-0.908792835	-0.110490009	-0.546627026	-0.546627026	-0.456458813	-0.355818201	-0.030793382	-0.355818201	0.153317055	-0.784442361	-0.784442361
CYP4A11	-0.432629179	-1.37856528	-0.432629179	-0.212547307	-0.212547307	0.016584511	0.172897874	-0.246526406	0.172897874	-1.172557362	-0.364050116	-0.364050116
CYP4B1	-0.228844326	0.504009533	-0.228844326	0.217054718	0.217054718	-0.158879439	0.197654344	-0.016577671	0.197654344	-0.379964207	0.223629811	0.223629811
CYP51	0.92435766	0.273967791	0.92435766	-0.185958867	-0.185958867	0.850402693	-0.487863682	-0.378096747	-0.487863682	-0.5887538	-0.782931933	-0.782931933
CYP7A1	0.100750249	0.803586291	0.100750249	0.981087284	0.981087284	-0.074698969	-0.144443692	-0.555320705	-0.144443692	-0.12004859	0.874770463	0.874770463
CYP7B1	-0.312996105	-0.051540442	-0.312996105	0.48838987	0.48838987	0.238380062	0.177026469	-0.049082392	0.177026469	-0.029272175	0.462197652	0.462197652
CYP8B1	0.092740974	0.405667596	0.092740974	0.659501715	0.659501715	-0.116594824	1.382855691	-0.636016722	1.382855691	0.166548592	0.646153597	0.646153597
DAB1	0.019731209	-0.382307556	0.019731209	-0.527821814	-0.527821814	-0.901995678	-0.787744003	-0.454743337	-0.787744003	-0.795249668	0.684958156	0.684958156
DDIT3	-0.402945708	0.479487722	-0.402945708	-0.69682687	-0.69682687	0.187170049	0.059103789	-0.86512439	0.059103789	-0.922134168	0.347678545	0.347678545
DGAT1	0.010035154	-0.274642891	0.010035154	-0.521684098	-0.521684098	-0.100785648	0.068010649	0.120556777	0.068010649	-0.132099214	1.269106155	1.269106155
DGAT2	0.0488007	-0.976809323	0.0488007	0.006846513	0.006846513	-0.186356201	-0.272702665	0.587314345	-0.272702665	0.783240638	-0.692312253	-0.692312253
DHCR24	0.991237154	0.068451141	0.991237154	1.095567064	1.095567064	-0.136365571	-1.118457967	0.148295529	-1.118457967	-0.31252853	-1.33187061	-1.33187061
DHCR7	0.695158044	0.272451739	0.695158044	0.638159989	0.638159989	-0.257356861	-0.789371724	-0.365520987	-0.789371724	-0.743479363	-1.578431141	-1.578431141
EBP	0.455247339	0.095936925	0.455247339	1.467440233	1.467440233	-0.195984906	-0.515678835	0.127312333	-0.515678835	-0.326690847	-0.669567386	-0.669567386
ECHS1	0.257987063	0.369769553	0.257987063	0.854896777	0.854896777	-0.433317114	0.105790776	0.119802149	0.105790776	-0.101219409	0.079187045	0.079187045
EHHADH	-0.45378742	-0.077351541	-0.45378742	0.023683424	0.023683424	0.261830298	0.031001223	-0.394981199	0.031001223	-0.0903879	0.960911407	0.960911407
ERG25	1.23981947	0.562320948	1.23981947	-0.56267744	-0.56267744	0.097551155	-0.980493384	-0.085687655	-0.980493384	-0.482029319	-1.729481948	-1.729481948
FABP1	0.27213959	-0.166346596	0.27213959	0.080391931	0.080391931	-0.621146615	0.068759201	-0.317351091	0.068759201	-0.280368472	1.004819869	1.004819869
FABP2	-0.419598223	-0.065989086	-0.419598223	0.346843423	0.346843423	0.39123468	0.065038183	0.052077603	0.065038183	0.235694083	1.523260033	1.523260033
FABP3	-0.814739899	0.224064609	-0.814739899	-1.23450182	-1.23450182	-0.40130036	-0.693023539	-1.246591399	-0.693023539	-1.365848202	-0.287434848	-0.287434848
FABP4	-0.053830983	0.16376826	-0.053830983	-0.642401881	-0.642401881	0.185133317	-0.805602229	-0.26905374	-0.805602229	-0.138175357	0.720117613	0.720117613
FABP5	-0.387104263	-1.928087242	-0.387104263	-0.459362673	-0.459362673	-1.147587912	-0.92566795	0.459490751	-0.92566795	0.401470544	-0.965682819	-0.965682819
FABP6	0.036543224	0.370834695	0.036543224	0.517009511	0.517009511	-0.566741071	0.452506049	-0.01157778	0.452506049	-0.143480543	0.885883164	0.885883164
FABP7	-0.725421616	0.40173349	-0.725421616	-0.467447127	-0.467447127	-0.073918112	-0.522912515	-1.371958711	-0.522912515	-1.143866912	-0.055391911	-0.055391911
FACL1	0.529151745	-0.185810071	0.529151745	0.40857336	0.40857336	0.184101776	0.041497299	1.044046964	0.041497299	0.972901444	0.945372336	0.945372336
FACL3	-0.21399847	-0.479595722	-0.21399847	-0.144326632	-0.144326632	0.169469147	-0.371932458	0.244270438	-0.371932458	-0.02282616	0.068060791	0.068060791
FACL4	0.185421776	0.081856104	0.185421776	0.294623005	0.294623005	-0.162637697	0.470682763	0.326421158	0.470682763	0.276185877	1.509495602	1.509495602
FACL5	0.334150643	-0.916522822	0.334150643	-0.533993959	-0.533993959	-0.060522075	-0.033500916	1.078001036	-0.033500916	0.805163685	-0.347167592	-0.347167592
FACL6	0.873573447	-0.313696292	0.873573447	0.741684528	0.741684528	-0.325548952	-0.305240293	-0.238892004	-0.305240293	-0.210395443	-0.114764293	-0.114764293
FACTOR D	-0.500570098	0.350448267	-0.500570098	-0.562559083	-0.562559083	-0.401172327	-0.575626578	-1.374154362	-0.575626578	-1.196558087	-0.342411151	-0.342411151
FASN	0.68344651	-0.158080587	0.68344651	1.553464095	1.553464095	-0.128541529	-0.11255697	0.139066405	-0.11255697	-0.069379622	0.890042321	0.890042321
FDFT1	0.688660488	0.089851766	0.688660488	0.025338024	0.025338024	0.233211311	-1.326145189	0.058825589	-1.326145189	-0.757691558	-1.872533768	-1.872533768
FDPS	0.017485792	0.034039225	0.017485792	-0.096181967	-0.096181967	0.356137341	0.46353679	0.867008526	0.46353679	0.136178237	0.264487032	0.264487032
FOXA1	-0.319835019	0.098111822	-0.319835019	-0.788340124	-0.788340124	-0.808307457	0.106548239	0.065326683	0.106548239	-0.416960987	0.17318786	0.17318786
FOXO3A	0.162354774	-0.289910722	0.162354774	-0.369009644	-0.369009644	-0.036288423	-0.119498566	0.527080678	-0.119498566	0.228343664	-0.20137351	-0.20137351
GADD45A	-0.129663345	-0.382303021	-0.129663345	-0.043794329	-0.043794329	-0.431807541	-0.232082623	-0.173617227	-0.232082623	-0.798272335	-0.483901333	-0.483901333
GADD45B	0.085922725	-0.087110298	0.085922725	0.475049888	0.475049888	0.076812694	0.13819697	0.468388007	0.13819697	0.48862074	0.429703304	0.429703304
GADD45G	0.006043992	0.073566141	0.006043992	0.201647073	0.201647073	-0.054324112	0.170843699	-0.30946879	0.170843699	-0.213524722	0.723068358	0.723068358
GAPD	0.108465953	-0.79400681	0.108465953	0.867367408	0.867367408	-1.096581382	-0.44210239	0.469226986	-0.44210239	0.191349269	-0.45471229	-0.45471229
GGPS1	0.563427721	0.061751439	0.563427721	-0.372576091	-0.372576091	0.316611614	0.203846562	1.016710507	0.203846562	0.147715144	-0.158936348	-0.158936348
GHRELIN	0.710740904	1.047938457	0.710740904	1.324638892	1.324638892	1.150695204	1.48676834	0.300281135	1.48676834	0.004131449	0.742035452	0.742035452
H1F0	-0.526970964	-0.488073556	-0.526970964	-0.223651976	-0.223651976	-0.982380253	0.07199646	-0.705061596	0.07199646	-0.461898708	0.785775324	0.785775324
HADHA	0.074536446	-0.760319566	0.074536446	-0.634229647	-0.634229647	-0.301912528	-0.326785603	0.538971797	-0.326785603	0.78403973	-0.767209045	-0.767209045
HADHB	0.182654361	-0.655157332	0.182654361	-0.771312298	-0.771312298	-0.59441686	-0.208243654	-0.136535835	-0.208243654	0.271768781	-0.416072507	-0.416072507
HMGCR	0.558403656	0.383695788	0.558403656	-0.940953668	-0.940953668	-0.281377224	-0.787684731	-0.976335843	-0.787684731	-1.131100426	-0.702230027	-0.702230027
HMGCS1	0.025513893	0.62129	0.025513893	0.415767064	0.415767064	0.102322163	1.085347141	0.449783949	1.085347141	0.595135555	0.706135111	0.706135111
